OrderNumber,OrderDate,Channel,Order Quantity,Unit Price,Line Total,Unit Cost,Product Name,Product Sales,District,SubDistrict,Total Unit Cost,District Sales,SubDistrict Sales,SchoolCustomer,centroid_lat,centroid_long,rentabel,Category,Warehouse Name
SO - 0005603,2016-03-14,Distributor,10,2974.8,29748.0,1546.896,Product 5,17047098.1,ЮАО,Нагорный,15468.96,11968129.6,849499.7,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,0.92,Household materials,Восток
SO - 0005388,2016-02-19,Export,5,167.5,837.5,105.525,Product 9,9261644.49999999,ЮАО,Чертаново Центральное,527.625,11968129.6,807303.1,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,0.59,Household materials,Север
SO - 0007555,2016-10-30,Wholesale,7,1708.5,11959.5,1042.185,Product 7,25715986.9,ЮАО,Чертаново Северное,7295.295,11968129.6,912962.1,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,0.64,IT technology,Восток
SO - 0004292,2015-10-11,Wholesale,7,3946.3,27624.1,1973.15,Product 7,25715986.9,ЮАО,Москворечье-Сабурово,13812.050000000001,11968129.6,864561.3,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,1.0,IT technology,Юг
SO - 0003381,2015-06-20,Wholesale,11,1025.1,11276.1,727.821,Product 13,11774660.4,ЮАО,Бирюлёво Западное,8006.031,11968129.6,950153.8,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,0.41,Printed products,Север
SO - 0001513,2014-11-16,Wholesale,7,1165.8,8160.6,594.558,Product 12,3109289.1,ЮАО,Донской,4161.906,11968129.6,709630.5,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,0.96,Printed products,Восток
SO - 0002541,2015-03-14,Wholesale,11,180.9,1989.9,92.259,Product 11,20621809.4,СВАО,Ростокино,1014.849,12956171.9,804810.7,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.96,Household materials,Север
SO - 0005203,2016-01-27,Distributor,10,1105.5,11055.0,442.2,Product 11,20621809.4,СВАО,Южное Медведково,4422.0,12956171.9,724732.3,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,1.5,Household materials,Север
SO - 0007205,2016-09-20,Export,7,938.0,6566.0,712.88,Product 1,25571548.3,СВАО,Лианозово,4990.16,12956171.9,457884.7,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.32,Printed products,Север
SO - 000845,2014-08-26,Export,8,261.3,2090.4,117.585,Product 9,9261644.49999999,СВАО,Ярославский,940.68,12956171.9,953584.2,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,1.22,Household materials,Восток
SO - 000248,2014-06-18,Wholesale,9,984.9,8864.1,669.732,Product 7,25715986.9,ЮЗАО,Гагаринский,6027.588,14198700.3,1241449.7,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.47,IT technology,Север
SO - 0005358,2016-02-16,Distributor,10,1902.8,19028.0,1046.54,Product 1,25571548.3,ЮЗАО,Котловка,10465.4,14198700.3,1191172.9,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.82,Printed products,Запад
SO - 0004334,2015-10-17,Distributor,9,268.0,2412.0,187.6,Product 9,9261644.49999999,ЮЗАО,Зюзино,1688.3999999999999,14198700.3,694669.4,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.43,Household materials,Запад
SO - 0001967,2015-01-04,Distributor,9,1118.9,10070.1,716.096,Product 13,11774660.4,САО,Западное Дегунино,6444.864,13554026.3,912352.4,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.56,Printed products,Север
SO - 0006285,2016-06-02,Export,6,3953.0,23718.0,1620.73,Product 1,25571548.3,САО,Аэропорт,9724.380000000001,13554026.3,756001.2000000001,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,1.44,Printed products,Восток
SO - 0003559,2015-07-13,Wholesale,6,810.7,4864.2,664.774,Product 7,25715986.9,САО,Войковский,3988.6440000000002,13554026.3,839087.9,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.22,IT technology,Восток
SO - 0003319,2015-06-12,Wholesale,9,3015.0,27135.0,2381.85,Product 11,20621809.4,ЦАО,Мещанский,21436.649999999998,12422885.4,1165833.5,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.27,Household materials,Север
SO - 0007742,2016-11-19,Distributor,9,6043.4,54390.6,2598.662,Product 9,9261644.49999999,ЦАО,Хамовники,23387.958,12422885.4,1238039.4,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,1.33,Household materials,Восток
SO - 0007983,2016-12-19,Wholesale,5,1065.3,5326.5,617.874,Product 14,3144263.1,ЦАО,Тверской,3089.37,12422885.4,1363979.3,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.72,Printed products,Запад
SO - 0005547,2016-03-07,Wholesale,10,2619.7,26197.0,1859.987,Product 11,20621809.4,ЦАО,Пресненский,18599.870000000003,12422885.4,1228478.5,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.41,Household materials,Восток
SO - 0003983,2015-09-02,Distributor,11,3209.3,35302.3,1347.906,Product 7,25715986.9,ЦАО,Пресненский,14826.966,12422885.4,1228478.5,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,1.38,IT technology,Север
SO - 0004454,2015-11-02,Distributor,8,1762.1,14096.8,1356.817,Product 1,25571548.3,ЦАО,Красносельский,10854.536,12422885.4,1109761.2,ГБОУ школа № 1354 «Вектор»,55.54985115026622,37.56329291919923,0.3,Printed products,Север
SO - 0007347,2016-10-06,Wholesale,11,6023.3,66256.3,3734.446,Product 11,20621809.4,СВАО,Ростокино,41078.906,12956171.9,804810.7,ГБОУ школа № 1252 имени Сервантеса,55.809378484583924,37.49591564938561,0.61,Household materials,Север
SO - 0004595,2015-11-18,Distributor,5,1936.3,9681.5,793.883,Product 1,25571548.3,СВАО,Ростокино,3969.415,12956171.9,804810.7,ГБОУ школа № 1252 имени Сервантеса,55.809378484583924,37.49591564938561,1.44,Printed products,Север
SO - 0003902,2015-08-22,Export,8,1916.2,15329.6,1379.664,Product 7,25715986.9,СВАО,Марьина Роща,11037.312,12956171.9,764001.0,ГБОУ школа № 1252 имени Сервантеса,55.809378484583924,37.49591564938561,0.39,IT technology,Восток
SO - 0004829,2015-12-16,Distributor,12,2680.0,32160.0,1581.2,Product 11,20621809.4,ЮВАО,Печатники,18974.4,12250166.1,1183387.5,ГБОУ школа № 1252 имени Сервантеса,55.809378484583924,37.49591564938561,0.69,Household materials,Север
SO - 0006179,2016-05-23,Distributor,8,227.8,1822.4,182.24,Product 7,25715986.9,САО,Хорошёвский,1457.92,13554026.3,599951.5,ГБОУ школа № 1252 имени Сервантеса,55.809378484583924,37.49591564938561,0.25,IT technology,Восток
SO - 000359,2014-07-01,Wholesale,5,1125.6,5628.0,776.664,Product 5,17047098.1,СВАО,Ростокино,3883.3199999999997,12956171.9,804810.7,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,0.45,Household materials,Север
SO - 0006355,2016-06-11,Wholesale,9,1118.9,10070.1,525.883,Product 4,2857288.7,СВАО,Лосиноостровский,4732.947,12956171.9,610148.9,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,1.13,Printed products,Север
SO - 0002803,2015-04-16,Wholesale,7,1862.6,13038.2,1434.202,Product 1,25571548.3,ЮЗАО,Ломоносовский,10039.414,14198700.3,1398497.7,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,0.3,Printed products,Север
SO - 000387,2014-07-05,Wholesale,5,938.0,4690.0,572.18,Product 11,20621809.4,ЮЗАО,Тёплый Стан,2860.8999999999996,14198700.3,1638773.1,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,0.64,Household materials,Запад
SO - 000280,2014-06-22,Wholesale,9,1139.0,10251.0,933.98,Product 7,25715986.9,ЮАО,Чертаново Центральное,8405.82,11968129.6,807303.1,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,0.22,IT technology,Север
SO - 0004659,2015-11-26,Wholesale,8,2532.6,20260.8,2076.732,Product 2,22913892.8,ЮАО,Царицыно,16613.856,11968129.6,545989.7,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,0.22,Household materials,Восток
SO - 0001506,2014-11-15,Wholesale,5,1098.8,5494.0,527.424,Product 5,17047098.1,ЦАО,Якиманка,2637.12,12422885.4,905230.3,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,1.08,Household materials,Север
SO - 0002464,2015-03-02,Wholesale,8,1165.8,9326.4,804.402,Product 11,20621809.4,ЦАО,Хамовники,6435.216,12422885.4,1238039.4,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,0.45,Household materials,Юг
SO - 0006005,2016-05-01,Export,9,2512.5,22612.5,1231.125,Product 14,3144263.1,ЦАО,Пресненский,11080.125,12422885.4,1228478.5,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,1.04,Printed products,Север
SO - 0004009,2015-09-06,Wholesale,10,1065.3,10653.0,830.934,Product 13,11774660.4,ЗАО,Очаково-Матвеевское,8309.34,12577179.7,1242367.6,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,0.28,Printed products,Запад
SO - 0004493,2015-11-06,Wholesale,10,1045.2,10452.0,742.092,Product 5,17047098.1,ЗАО,Очаково-Матвеевское,7420.92,12577179.7,1242367.6,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,0.41,Household materials,Восток
SO - 0001170,2014-10-04,Wholesale,6,1139.0,6834.0,774.52,Product 9,9261644.49999999,ЗАО,Дорогомилово,4647.12,12577179.7,804884.4,ГБОУ школа № 1347,55.653579829742284,37.413301723065565,0.47,Household materials,Запад
SO - 0006515,2016-07-01,Wholesale,8,1078.7,8629.6,744.303,Product 5,17047098.1,СВАО,Ростокино,5954.424,12956171.9,804810.7,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.45,Household materials,Север
SO - 0008075,2016-12-29,Wholesale,7,790.6,5534.2,490.172,Product 2,22913892.8,СВАО,Марьина Роща,3431.204,12956171.9,764001.0,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.61,Household materials,Север
SO - 0005579,2016-03-10,Distributor,7,1058.6,7410.2,899.81,Product 7,25715986.9,СВАО,Марьина Роща,6298.67,12956171.9,764001.0,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.18,IT technology,Север
SO - 0007967,2016-12-17,Distributor,11,1882.7,20709.7,997.831,Product 13,11774660.4,СЗАО,Хорошёво-Мнёвники,10976.141,12797656.6,1570915.5,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.89,Printed products,Восток
SO - 0006160,2016-05-21,Export,9,1092.1,9828.9,688.023,Product 1,25571548.3,СЗАО,Строгино,6192.207,12797656.6,1583538.3,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.59,Printed products,Север
SO - 0003571,2015-07-15,Wholesale,11,978.2,10760.2,674.958,Product 1,25571548.3,СЗАО,Щукино,7424.538,12797656.6,1734489.3,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.45,Printed products,Юг
SO - 0004668,2015-11-27,Export,5,2003.3,10016.5,1161.914,Product 1,25571548.3,ЮЗАО,Гагаринский,5809.57,14198700.3,1241449.7,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.72,Printed products,Юг
SO - 0006537,2016-07-04,Distributor,7,1105.5,7738.5,928.62,Product 7,25715986.9,ЮЗАО,Котловка,6500.34,14198700.3,1191172.9,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.19,IT technology,Север
SO - 000818,2014-08-22,Distributor,8,3872.6,30980.8,2052.478,Product 11,20621809.4,ЮВАО,Капотня,16419.824,12250166.1,1098304.2,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.89,Household materials,Север
SO - 0001929,2015-01-01,Wholesale,11,2646.5,29111.5,1879.015,Product 2,22913892.8,ВАО,Северное Измайлово,20669.165,12387402.2,742520.8,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.41,Household materials,Запад
SO - 0004869,2015-12-21,Distributor,8,884.4,7075.2,566.016,Product 13,11774660.4,ВАО,Косино-Ухтомский,4528.128,12387402.2,749890.8,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.56,Printed products,Север
SO - 0006562,2016-07-06,Wholesale,6,3845.8,23074.8,2961.266,Product 11,20621809.4,ВАО,Перово,17767.596,12387402.2,688800.2,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.3,Household materials,Север
SO - 0004626,2015-11-22,Wholesale,8,1011.7,8093.6,455.265,Product 2,22913892.8,САО,Беговой,3642.12,13554026.3,999767.3,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,1.22,Household materials,Восток
SO - 0002506,2015-03-09,Export,12,1949.7,23396.4,896.862,Product 12,3109289.1,САО,Молжаниновский,10762.344,13554026.3,1207266.3,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,1.17,Printed products,Север
SO - 0006514,2016-07-01,Wholesale,10,1078.7,10787.0,431.48,Product 10,3115647.4,САО,Савёловский,4314.8,13554026.3,871931.3,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,1.5,Printed products,Север
SO - 0005998,2016-04-30,Wholesale,10,3845.8,38458.0,1884.442,Product 12,3109289.1,ЮАО,Зябликово,18844.42,11968129.6,571503.3,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,1.04,Printed products,Запад
SO - 0001031,2014-09-16,Distributor,11,998.3,10981.3,788.657,Product 1,25571548.3,ЮАО,Донской,8675.227,11968129.6,709630.5,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.27,Printed products,Север
SO - 000665,2014-08-06,Export,12,864.3,10371.6,501.294,Product 7,25715986.9,ЦАО,Замоскворечье,6015.528,12422885.4,1432647.6,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,0.72,IT technology,Запад
SO - 0004662,2015-11-26,Wholesale,6,5949.6,35697.6,2498.832,Product 5,17047098.1,ЦАО,Басманный,14992.991999999998,12422885.4,1246226.8,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,1.38,Household materials,Север
SO - 000564,2014-07-25,Wholesale,5,857.6,4288.0,394.496,Product 2,22913892.8,ЦАО,Мещанский,1972.48,12422885.4,1165833.5,ГБОУ школа № 1561,55.598835327903174,37.536426547562634,1.17,Household materials,Север
SO - 0007583,2016-11-01,Wholesale,10,3698.4,36984.0,3106.656,Product 5,17047098.1,СВАО,Ростокино,31066.559999999998,12956171.9,804810.7,ГКОУ СКОШИ № 102,55.853666839026545,37.65211175047973,0.19,Household materials,Север
SO - 0003859,2015-08-17,Distributor,7,227.8,1594.6,120.734,Product 1,25571548.3,СВАО,Северное Медведково,845.1379999999999,12956171.9,766781.5,ГКОУ СКОШИ № 102,55.853666839026545,37.65211175047973,0.89,Printed products,Север
SO - 0003749,2015-08-04,Distributor,10,1748.7,17487.0,1346.499,Product 7,25715986.9,СВАО,Марьина Роща,13464.99,12956171.9,764001.0,ГКОУ СКОШИ № 102,55.853666839026545,37.65211175047973,0.3,IT technology,Север
SO - 0007867,2016-12-04,Wholesale,5,1768.8,8844.0,884.4,Product 13,11774660.4,СВАО,Северный,4422.0,12956171.9,888748.3,ГКОУ СКОШИ № 102,55.853666839026545,37.65211175047973,1.0,Printed products,Запад
SO - 0005500,2016-03-01,Wholesale,5,1165.8,5829.0,792.744,Product 7,25715986.9,САО,Сокол,3963.7200000000003,13554026.3,767210.3,ГКОУ СКОШИ № 102,55.853666839026545,37.65211175047973,0.47,IT technology,Юг
SO - 0002832,2015-04-19,Distributor,9,1762.1,15858.9,1462.543,Product 5,17047098.1,ЗАО,Фили-Давыдково,13162.886999999999,12577179.7,1035203.6,ГКОУ СКОШИ № 102,55.853666839026545,37.65211175047973,0.2,Household materials,Север
SO - 0001464,2014-11-11,Wholesale,5,1681.7,8408.5,1194.007,Product 13,11774660.4,СВАО,Ростокино,5970.035,12956171.9,804810.7,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,0.41,Printed products,Север
SO - 0005675,2016-03-23,Wholesale,9,1125.6,10130.4,596.568,Product 7,25715986.9,СВАО,Лосиноостровский,5369.112,12956171.9,610148.9,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,0.89,IT technology,Север
SO - 0004889,2015-12-23,Wholesale,10,1809.0,18090.0,1193.94,Product 5,17047098.1,ЮЗАО,Ясенево,11939.400000000001,14198700.3,1132856.1,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,0.52,Household materials,Север
SO - 0005145,2016-01-20,Distributor,12,2492.4,29908.8,996.96,Product 2,22913892.8,ЮЗАО,Тёплый Стан,11963.52,14198700.3,1638773.1,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,1.5,Household materials,Север
SO - 0002486,2015-03-05,Distributor,7,1045.2,7316.4,721.188,Product 5,17047098.1,ЮЗАО,Котловка,5048.316,14198700.3,1191172.9,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,0.45,Household materials,Север
SO - 0008084,2016-12-30,Distributor,7,3959.7,27717.9,2930.178,Product 11,20621809.4,ЮВАО,Нижегородский,20511.246,12250166.1,1266614.9,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,0.35,Household materials,Север
SO - 0004138,2015-09-22,Distributor,9,1889.4,17004.6,1095.852,Product 11,20621809.4,ЮВАО,Кузьминки,9862.668000000001,12250166.1,1034453.2,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,0.72,Household materials,Север
SO - 0001163,2014-10-03,Distributor,8,917.9,7343.2,431.413,Product 1,25571548.3,ЮВАО,Кузьминки,3451.304,12250166.1,1034453.2,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,1.13,Printed products,Север
SO - 0006342,2016-06-09,Wholesale,11,2626.4,28890.4,1891.008,Product 7,25715986.9,ЮВАО,Текстильщики,20801.088,12250166.1,887173.8,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,0.39,IT technology,Север
SO - 0006758,2016-07-27,Wholesale,9,1869.3,16823.7,1046.808,Product 1,25571548.3,ВАО,Измайлово,9421.272,12387402.2,715178.1,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,0.79,Printed products,Восток
SO - 0003092,2015-05-18,Wholesale,5,676.7,3383.5,345.117,Product 11,20621809.4,ВАО,Преображенское,1725.585,12387402.2,773816.5,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,0.96,Household materials,Север
SO - 0004306,2015-10-13,Distributor,7,2499.1,17493.7,1024.631,Product 2,22913892.8,ЮАО,Чертаново Центральное,7172.417,11968129.6,807303.1,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,1.44,Household materials,Север
SO - 0005339,2016-02-13,Wholesale,9,5460.5,49144.5,3767.745,Product 1,25571548.3,ЮАО,Нагатинский Затон,33909.705,11968129.6,915789.5,ГБОУ школа № 1560 «Лидер»,55.77463364431466,37.49011550188176,0.45,Printed products,Восток
